click_r,release_t,title,content,transfer_u,expect_t,reply_c,satisfy_d,evaluate_t,evaluate_c
8,2016/1/29,违停这类事为什么不能网上处理了？,以前可以的，方便群众，现在都要去处理窗口，是故意加重惩罚车主、方便黄牛吗？,交警总队（交管局）,2016/1/21,陈梅秋:您好！来信收悉，现答复如下：根据公安部交管局《关于印发的通知》规定对适用简易程序，并发生在我省的交通技术监控违法（依法给予警告或200元以下罚款的违法行为）可通过“福建省公安厅交警总队交通安全综合服务平台（http：//fj.122.gov.cn）”处理，但重点管理车辆（营运客货车、危化品运输车辆和校车）、非本人名下机动车有记分的违法除外。驾驶证具有撤销、吊销、注销、停止使用、逾期未换证、逾期未审验、扣押、扣留、注销可恢复、暂扣、锁定、转出、记满12分以及处理后驾驶证将记满12分的，不允许通过“网上综合服务平台”处理。对此给您带来的不便，深感抱歉。感谢您对福建公安工作的理解与支持。,,,
15,2016/2/1,非警务部门人员随意穿着仿制警服,请公安厅领导出面严厉坚决扫除全省非警务部门的仿制警服。。现在路上有好多非警务部门的人员穿着仿制警服街上瞎溜达。。骑车不戴安全头盔。到店铺泡茶。路上闯红灯。。。。违反交通法规非常不注重自身的形象。。很多买卖安保器材的店铺也有卖仿制警服。。希望你们领导好好想想。。一个看似警察。。实际是保安是市场管理。是城管的人员穿着仿制警服到处破坏警察形象。。。是一个多么可怕的事情。。老百姓看了只会说现在的警察素质真差。只会说警察自己都在违法。。。。不会说这个保安素质差。。这个保安在违法。。作为共和国的武装力量执法部门难道就没有一点魄力去解决这种事情。。长此以往人民警察的形象将慢慢的毁掉。。我们的形象将不复存在。。。,治安总队,2016/2/1,您好！您的邮件收悉，现答复如下：保安队伍是一支维护社会治安秩序的重要辅助力量。近年来我省各级公安机关积极加强包括保安着装问题在内的保安行业监管工作。仅2015年10月至12月，全省就取缔非法保安服装销售店两家，收缴保安服装、仿警服仿保安服近500套，保安帽子、领花、肩章、臂章近5000个，对存在有问题的3600多名保安员进行谈话教育，及时调离保安员500多人，辞退300多人。下一步，我们将继续督促各地开展保安服装市场的整治工作，进一步加快推进换发2011式保安员服装工作，减少社会上乱着装现象，维护人民警察和保安队伍的良好形象。感谢您对公安工作的理解与支持！,,,
31,2016/2/5,外地泉州人的辛酸,泉州户籍身份证到期在外地，居然没全国联网，在外地补办不了。咱泉州也算是个出名城市了，居然不能异地补办我的身份证。要我从长春跑回去来回几天啊？和谐社会人性化建设，能不能相应习总书记的号召了？能不能发展了？能不能为民办事了？,治安总队,2016/2/5,林良*网友：您好！您的来邮收悉。现答复如下：一、关于换领居民身份证问题根据《中华人民共和国居民身份证法》规定，居民身份证登记的项目包括指纹信息。由此《福建省公安机关居民身份证指纹信息登记工作规范》规定，公民申领、换领、补领居民身份证，必须由本人携带居民户口簿到户口所在地派出所户籍窗口申办。因此，若您需办理居民身份证，请您本人携带居民户口簿到户口所在地派出所户籍窗口申办。二、关于异地换领居民身份证问题2015年6月26日，我省已推出省内居民居民身份证异地受理服务，即已办理登记指纹信息居民身份证的省内居民离开户籍地到省内其他县市居住的，可在暂住地申请受理居民身份证。根据公安部统一部署，2017年7月1日，全面实施居民身份证异地受理、挂失申报和丢失招领工作。感谢您对公安工作的理解与支持！,,,
16,2016/2/24,无法开具安全驾驶证明,福州地区几年不开展汽车教练员培训了，本人只好到厦门地区去考教练证。报考时要求到驾驶证原发证单位（福州市公安局交警支队）开具（五年安全驾驶证明）。但今天本人到福州交警支队请求开具这个证明时却被拒绝了。敬爱的领导，福州地区几年不开展教练证员培训了，这使很多福州地区想从事教练职业的人无法顺利就业了。我们为了考到教练员证，为了就业养家，只好到厦门地区去考。但原发证单位连张证明都不能为我们开。（厦门的交警支队就能为厦门的驾驶员开这个证明）。这完全阻碍了我们的就业和生存。我相信人民警察是为人民的，而不是阻碍人民的。还请领导尽快协解此事。能为我们开具相关证明。,福州市公安局,2016/2/24,高：您好！感谢您对福州交通管理工作的关心和支持，您的来邮已收悉，现将问题答复如下：您提及的关于教练员从业培训工作属于交通运管部门的行业管理，需要具备的从业资格许可问题，请咨询许可主管部门厦门市交通运管部门。感谢您对公安工作的理解与支持！,,,
11,2016/3/7,海西商品交易所有限公司及其会员单位,福建省各位领导您们好：现本人李光琼举报海西商品交易所有限公司及其会员单位中汇国创投资集团利用现货原油进行诈骗，他们通过网络夸大收益，不真实的盈利交割单来诱骗我们进入他们公司做现货原油投资，实际进行非法期货操作，他们给我安排老师带我操作，每次都是重仓还是让我下相反方向做单，导致我巨亏最后血本无归，让我亏损20万元，希望福建省委各位领导严查，并要求海西商品交易所有限公司及其会员单位中汇国创投资集团退还本人被骗金额，谢谢,,,您好！你的来邮已收悉，现答复如下：您反映的情况无具体事实情况说明，您若受不法侵害，请即持相关的证据材料到鼓楼公安分局经侦大队（洪山桥桥头）报案，以便公安机关调查核实。此外，您所诉的该交易平台存在违规操作以及虚假宣传等问题，应向金融监管和工商部门具体反映。感谢您对公安工作的理解与支持！,,,
14,2015/11/30,你好，我在福建省公安厅交警总队交通安全服务平台的登陆密码忘记了怎么办,你好，我在福建省公安厅交警总队交通安全服务平台的登陆密码忘记了怎么办，原来注册时候的手机号码没有用了现在也不能使用找回密码了还有什么方法找回密码吗？,交警总队（交管局）,2015/11/23,罗金*您好，来信收悉，现将有关情况反馈如下*为了保护用户资料安全，手机号码接收的短信验证码是用户登录的重要凭证。如您忘记密码或原手机号码失效，请到交警窗口人工面签注册。具体的面签地点在网站首页的右下角查询。感谢您对福建公安工作的理解与支持。,,,
37,2015/12/3,光泽县一个老头子，拿个相机去拍摩托车未带头盔，罚100扣2分，这样妥吗，然后说是电子眼拍摄的，,不要对农民工下手，非要这样做，大家都有手机都有相机，都有天生的理性，都把相机对准不合理，案件太多，太危险，处处违法，都说成电子拍摄，那又何必何必，如拿个相机去拍摩托车未带头盔，罚100扣2分，这样妥吗，然后说是电子眼拍摄的，1天工资没有还扣2分，也不知道那个老头谁指示去这样做，我在想老头你家后代都带头盔，没带头盔你会罚你家孙子吗？电子眼本身就是监控督促作用，到处都有电子眼，为什么老头你要去做电子眼还专抓这些上班的农民工啊，有这个能耐干嘛不去抓点真正的犯罪，那样人民会拍手叫好的，最后问一下老头经常故意抓拍算电子眼拍吗？建议老头做个慈祥的老人，带带孙子，从民俗角度看别去做坏人，真正的电子眼监控会管的，,光泽县局,2015/12/2,官晓*同志：您好！您的来邮已收悉，现答复如下：近年来，随着摩托车的不断增加，因骑乘人员未戴安全头盔造成人员伤亡的道路交通事故时有发生。为了加强事故预防，减少人员伤亡，光泽县公安局交警大队按照省公安厅交警总队的统一部署，加大对骑乘摩托车未戴安全头盔交通违法的整治力度，通过现场查纠、监控和移动抓拍，有效遏制了骑乘摩托车未戴安全头盔的交通违法行为，大大降低了摩托车骑乘人员在交通事故中的伤亡率。《中华人民共和国道路交通安全法》第五十一条规定：机动车行驶时，驾驶人、乘坐人员应当按规定使用安全带，摩托车驾驶人及乘坐人员应当按规定戴安全头盔；福建省实施《中华人民共和国道路交通安全法》办法第六十七条第七项规定：驾驶机动车时，驾驶人未按规定使用安全带或者安全头盔的，处以一百元罚款；《机动车驾驶证申领和使用规定》规定：驾驶和乘坐二轮摩托车，不戴安全头盔的记2分。根据上述法律、法规，公安交警部门利用监控和移动设备抓拍骑乘摩托车未戴安全头盔的交通违法，并处以罚款一百元、记2分的处罚，是依法履行职责。在此，我们也希望每一位交通参与者认真学习和自觉遵守道路交通法律、法规，关爱生命，安全出行。感谢您对公安工作的理解与支持！,,,
6,2015/12/7,高考报名身份证问题,我是一名高三学生因为办理身份证时疏忽没有办理加急，今天去改发现已经送到制证中心了。改不了加急。而距离高考报名最晚还有十天，真的很急，我的身份证号码是35####19#######01x。我的受理号是35####15#######26###08,东山县局,2015/12/7,黄泽超同学：您好，你的来邮已收悉，现答复如下：你反映的办理身份证担心高考报名要使用时来不及的问题，所属的东山县公安局信访办已经查出你的身份证已办理完毕，并在12月5日通知你的父母告知你可以到铜陵派出所核对指纹和领取身份证。感谢你对公安与支持工作的理解。,,,
6,2015/12/9,在互联网预约考试，考试时间已过，却一直显示预约处理中,你好，我在互联网预约考试科目二，考试时间已过，却一直显示预约处理中，之前系统升级的时候，以为没预约成功，多预约了几次，没想到一直没退办，希望你们可以帮我处理这个问题，能让我可以重新预约考试，万分感谢，,交警总队（交管局）,2015/12/7,游伟*：您好，来信收悉，现将有关情况反馈如下：互联网自主预约是公安部门推出的便民为民新举措，福建省公安厅交警总队交通安全综合服务管理平台（http://fj.122.gov.cn）是公安部在全国统一部署的交警业务综合服务平台，因我省是全国三个试点省份之一，系统运行初期还不稳定，内外网数据交换存在延时，建议您到车管所窗口反映具体问题，他们会积极帮您解决。对此给您带来的不便，深感抱歉。感谢您对福建公安工作的理解与支持。,不满意,2015/5/22 10:05,你好，这个问题已经好久了，还未能解决，能告诉我要怎么处理吗？车管所那边也是拖着
19,2015/12/21,"大量人员聚众赌博，且赌资巨大,一晚都是超过百万元人民币",最近两年多了，村里时不时会有在量外来人员出现，多数本镇其它乡村的人员进入我村聚众赌博，而且资金非常巨大，一晚上多是以几百万元来计算。严重扰乱当地治安。但是两年多了，地方警察完全没有看到任何行动，而且听别人说，公安内部人员也有抽成。我所提供的个人资料是假的，但是事情是真实的，因担心受到报复，所以没有留有个人联系方式，您们只要上面下来查，肯定有结果。但最好不要通知本镇的派出所，最好暗查。,福清市局,2015/11/2,陈能用:您好！来邮已收悉！现答复如下：经查，福清市公安局港头派出所今年以来已查处多起赌博行为并以顶格处理。接到您的诉求后，福清市公安局高度重视，立即要求治安管理大队加强该类案件的摸排管控工作，经多次走访调查及冲击检查均未发现赌博问题。目前福清市公安局已要求港头派出所加强巡逻，对赌博采取高压态势，一经发现从重处罚；其次深入群众，积极收集涉赌线索；此外加强宣传，防范未然，引导群众远离赌博行为，积极向上生活。您若确有线索可拨打110举报，公安机关将及时予以查处。感谢您对公安工作的理解与支持！,,,
46,2015/12/23,关于交通违章,我在网上查询交通违章发条一条不是我的车子的违章，我车牌号闽A###8E通知书序号：35#18#######2#31,福清市局,2015/12/22,林传顺:您好！来邮已收悉！现答复如下：经福清市公安局交通管理大队核查，确认您反映的违法信息系该单位工作人员在车辆违法信息录入过程中将车辆违法信息照片上传错误。福清市公安局交通管理大队已办理相关违法车辆信息变更手续报福州市公安局交警支队变更，变更成功后您的车辆违法信息照片将被替换成闽AE788E车辆违法信息照片。感谢您对公安工作的理解与支持！,,,
5,2015/12/29,中经商品交易中心080号会员东方巨力厦门资产管理公司，涉嫌利用现货原油平台，搞经济诈骗,中经商品交易中心080号会员东方巨力厦门资产管理公司，涉嫌利用现货原油平台，搞经济诈骗。10月28日晚间，我在东方巨力提供的中经手机交易版上操作买卖交易，当交易出现异常现象时，突然交易系统登录不进去。行情软件正常。于是我通过QQ，向引荐人深巷（QQ：54#####68，备注姓名马洁琼，所在地地址为深圳宝安区。）求援，并把交易账号和密码发过去希望她给以强制平仓。她不予理会。最终导致爆仓，赔掉约12万元。事后感觉蹊跷，做这个事情一直她很热情介绍，当天也是我的资金最大额，并且告诉她了。在她建议下准备做一次大的。现在想来，他们和东方巨力公司是一伙的，用的是圈钱的黑平台。在此向贵厅举报，希望贵厅查明真相，铲除扰乱厦门金融市场的这一毒瘤。,厦门市公安局,2015/12/29,孙永*：您好！您的来邮已收悉，现答复如下：2015年10月21日，厦门市公安局经侦支队（以下简称支队）接到孟祥亭等二十余名来自全国各地的群众关于中经商品交易中心有限公司及其东方巨力（厦门）资产管理有限公司等会员单位涉嫌非法经营案的报案。经审查，支队于同日受理了该案（受案登记表文号：厦公受案字【2015】00376号），并立即展开相关调查取证工作。经查：中经商品交易中心是经厦门市人民政府批准的为大宗商品提供现货交易平台的交易场所，具有从事现货产品交易的资质。您与中经商品交易中心的会员单位东方巨力公司签订客户协议书，并在中经商品交易中心提供的交易软件上开设账户。尔后，将投资本金转入上述账户，根据中经商品交易中心制定的交易规则进行交易。因为市场行情变化的影响，导致您亏损12万元人民币。综上，现有证据尚不足以证明中经商品交易中心及其会员单位主观上具有非法占有的目的。其次，现有证据亦无法证明中经商品交易中心及其会员单位客观上有采取虚构事实或者隐瞒真相的手段使被害人陷于错误认识，并“自愿”将财产交付给中经商品交易中心及其会员单位。您的损失是因为投资过程中的市场风险导致。因此，中经商品交易中心及其会员单位的行为依法不构成诈骗类犯罪。同时，现有证据尚不足以证实中经商品交易中心有限公司及其会员单位非法经营期货，因此亦不构成非法经营罪。鉴于上述理由，厦门市公安局经侦支队于2015年12月17日依法作出不予立案的决定。感谢您对公安工作的理解与支持！,,,
39,2015/12/31,11.24沙县黑社会火拼,11.24沙县黑色会老大韩邦本指使黑色会成员二十余人，在沙县小吃城二期一公司门口，与所在公司员工十余人火拼！请厅长关注,沙县局,2015/12/7,张文*：您好！你的来邮已收悉，现答复如下：沙县公安局刑侦大队接警后，于当日立案，并立即展开侦查，经查系胡庭福与周培忠等十余人驾驶闽GX6089等小车到陈志坚经营的志海商贸店铺，后双方发生打架，当场造成一名男子（周培忠，男，沙县人）受伤。现已抓获6名犯罪嫌疑人，均刑事拘留，目前该案沙县公安局仍在进一步侦查中，尚未发现有黑社会老大指使其成员同他人火拼的情况。感谢你对公安工作的理解与支持。,,,
8,2016/1/8,关于两次在旧西安桥由南往北的违反禁令标志的违法行为,您好，我是一名实习驾驶人，能够直觉遵守交通法规，但在旧西安桥由南往北的两次违法行为我并不是太明白，经过的时候并没有什么提示禁令标志，希望警察同志能帮我解决这个疑问，车牌号闽C###9P，谢谢,同安分局,2016/1/8,陈中*：您好！你的来邮已收悉，现答复如下：关于旧西桥限行规定，同安交警大队已于2015年8月通过厦门各大报纸、各新闻频道、各种微信、微博等媒体发布限行公告，于2015年9月1日起正式实行。此外，旧西桥的两端等处均有设置限行标志。感谢您对公安工作的支持！,,,
13,2015/11/3,感谢军人，感谢警察，向你们敬礼,我叫苏欢，老家江西，家人军人居多，爷爷是革命烈士，爸爸是60年代边境战的历过战功的军人，党员，姐夫，舅舅是老军人，我从小就崇拜军人，尊重军人，习惯做人坦坦荡荡我的丈夫是广东人，大学校友，性格孤僻老实，为人诚恳，我性格直爽，都很尊重人帮助人，结婚10年靠我把这个家担当下来，2012年在漳州开发区把房子买下来，都是靠自己，不靠双方父母，但要养育孩子，房子买下来压力相当大，2012年以前全国各地跑展销会或是在商场租店面经营。2012年后在鼓浪屿摆地摊养家养房养孩子，压力相当大来厦门以前没摆过地摊，不知道地摊是这样，大家挣位子互相排挤，我卖货在鼓浪屿是出了名的口才，只要开口就围满人我卖什么，大家就学我卖什么，我在哪卖，大家也到哪卖，中间发生几次吵架，有人看我生意好，学我卖，但又没生意，看我卖货收钱收不赢，挤兑我走，赶我，我性格直，被人欺负就会和人论理，但有人看我老公老实，看我一个人好欺负发生好几次动手，我自己也有错，性格直，受不了小人的欺负，忍不了。现在明白过来，有的时候退一步海阔天空，地摊小人多，要摆就要学会忍8月3号我掉到轮渡海滩，是鼓浪屿的民警秦效县和消防警察救了我，肋骨断了8根，脚骨折，在各个医院救了2个多月，到现在还没有全好昨天10月27号晚上我为了还房贷痛着身体去海边卖货，那一家3口，一对夫妻和弟弟搬3摊把我挡中间和我一样卖项链，他们以前卖围巾见我生意好也和我一样卖项链但没什么生意，他们知道我的头部脑血管畸形等着做手术还砸我头几十拳，好狠，摄像头都有拍摄，看的到他们是怎么样打我的，他们和弟弟3个人摆3摊把我挡中间挡我生意，我一时气不过就掉价卖一块，那男的跑过和我丈夫说叫我们走，赶我们走，几个月前他们赶过我一次，我忍着走了一次，他昨天就又不讲理的敢我们走，之后就他就骂我神经病，骂我婊子，这不是第一次骂，我气不过没忍住就回骂他，他动手，我也动手，附近的人都来劝，我老公老实就拉架不动手，就说不要打会出人命，他们3个打我一个，把我打到地上，不停的踢我，骂我，骂就要我早点死，报了警才停止的打架，之后就派出所的警察来了，处理的这事这个地摊我早就不愿意再摆，但丈夫又没有收入，也不会卖货，也不上班，就知道在家学佛念经，我不得不去做这事，自己都瞧不起自己现在这么窝囊，被人欺负，一身的病还要拼命养家。只希望早点还掉房贷过上正常人的生活几次发生事被人欺负都是鼓浪屿的民警秦效县帮我处理，他做事稳重，有分寸，是个好警察。为此，我特意向厦门的警察致敬，向鼓浪屿的警察致敬，向秦效县同志致敬，对你们说声谢谢！希望你们好好奖励鼓浪屿派出所，因为好人总会有好报,思明分局,2015/11/3,苏欢*您好！来信已悉。谢谢您对公安工作的支持与理解。,,,
14,2015/11/3,在职民警跨省调动求助,尊敬的副省长、公安厅长：您好！感谢您在百忙中审阅我的求助信件。我是福建省漳州市公安局一名民警，名叫梅杰，男，1991年8月出生，籍贯安徽合肥，2013年警校毕业后参加工作。参加工作两年多时间，由于各方面原因，希望通过调动的方式回到原籍所在地的县公安局工作，以下是我申请调动的具体缘由，恳请您抽空了解一下我的实际困难。生活上，由于整个闽南大环境的语言和生活方式同安徽有很大差别，加上自身语言学习能力和适应能力的欠缺，导致在生活中常会遇到很多困扰；工作上，坦白说南方的工作效率和工作方式与北方差距也很大，尽管做好了本职工作，但却不甘心逐渐堕落成一个群众眼中“懒散”的公职人员；家庭方面，是我提出工作调动的最主要原因。一方面，父母日益年迈多病，父亲有家族胃癌史，母亲患有子宫癌，且近年离异，母亲独自在家养病，父亲在合肥市所属的肥东县借宿亲戚家。父亲尽了所有能力联系了该县公安机关，最终肥东县公安局同意对我的调动予以接收。作为家中独子，为了能在工作之余兼顾离异的父母，我着手办理相关调动手续并呈报漳州市公安局党委，不想事与愿违，并没有得到领导同意。恳请您考虑到我的实际困难，哪怕是辞职或者辞退都可以，只希望能早日回到父母身边，谢谢您！,漳州市公安局,2015/11/2,"梅杰同志:您好!您的来邮收悉,现答复如下:因您现工作岗位为涉密岗位,根据相关规定,您必须有个脱密期,现漳州市局已批准您调离涉密岗位,待脱密期满,有关问题您再向单位人事部门反映,感谢您来邮.",,,
4,2015/11/3,关于交通安全综合服务平台违章处理,我于08月23日在莆永高速超速违章，决定书编号：35#######000126。于10月24日在交通安全综合服务平台进行违章处理，处理至一半时无法与平台联网，后面查看“待处理电子监控”已为0。昨日查看发现该起违章还在“支付罚款”状态，该违章无需罚款，我也找不到继续处理的地方，请帮忙给予解决。如无法在平台处理该起违章，请将其恢复至原始状态，避免影响车子年检。谢谢！,交警总队（交管局）,2015/10/30,陈咨*：您好，来信收悉，现将有关情况反馈如下：经核实，您车辆的违法公安内网已经同步，因我省是全国三个试点省份之一，系统运行初期还不稳定，内外网数据交换还会延时。对此给您带来的不便，深感抱歉。感谢您对福建公安工作的理解与支持。,满意,2015-34-04 01:34:26,回电及时、回复满意！希望这个交通安全综合服务平台能越来越好，方便车主办理业务。
12,2015/11/3,建议违章扣分网上操作,个人名下均有12分，自己名下的分数建议在网络上可以操作！跑到交巡警大厅办理实在是太浪费时间,交警总队（交管局）,2015/11/2,郑雪*：您好，来信收悉，现将有关情况反馈如下：根据公安部交管局《关于印发＜互联网交通管理业务工作规范（试行）＞的通知》（公交管【2015】372号）规定，对适用简易程序并发生在我省的交通技术监控违法（依法给予警告或200元以下罚款的违法行为）可以通过“福建省公安厅交警总队交通安全综合服务平台（http://fj.122.gov.cn）”处理。但重点管理车辆（营运客货车、危化品运输车辆和校车）、非本人名下机动车有记分的违法除外。驾驶证具有撤销、吊销、注销、停止使用、逾期未换证、逾期未审验、扣押、扣留、注销可恢复、暂扣、锁定、转出、记满12分以及处理驾驶证将记满12分的，不允许通过“综合服务平台”处理。感谢您对福建公安工作的理解与支持。,,,
4,2015/11/10,注册交通安全综合服务管理平台问题,注册交通安全综合服务管理平台时收不到手机验证码。我的手机是广东号码。是因为手机号的问题吗？,交警总队（交管局）,2015/11/5,温勇*您好，来信收悉，现将有关情况反馈如下*目前我省交通安全综合服务管理平台暂不支持省外手机号码，对此给您带来的不便，深感抱歉！感谢您对福建公安工作的理解与支持。,,,
5,2015/11/14,关于10月21日投诉漳州蓝田交警支队变更电话号码问题,尊敬的领导你好。关于上次在10月21日投诉的漳州蓝田交警支队变更驾考电话号码问题。由于忘记查看密码一直不能及时回复，希望在此可以像您反应一下。后经有关工作人员耐心解释明白，由于工作繁忙没能及时沟通清楚以及驾考系统的不完善导致不能及时通知，现在经过其工作人员及时认真细致的解释，本人现在完全理解并支持其工作。没能及时回复造成的不良影响深感歉意。,漳州市公安局,2015/11/5,李友*同志：您好！您的邮件已收悉，现答复如下：经过与当事人的沟通与解释，当事人对车管所工作的表示了理解。特此答复。感谢您对公安工作的支持！,,,
13,2015/11/16,五年有两年扣六分记录可以增驾不,我在前年有过超载扣六分的记录，今年又不小心路别的车后面闯红灯扣六分，请问我的驾驶证到明年十二月份满五年，我想把B2的证增驾到A1。请问可以增驾吗？,宁德市公安局,2015/11/16,柳明*：您好！您的来邮已收悉，现答复如下：根据公安部123号令第十四条规定，“已取得B1、B2驾驶证五年以上，或取得A2驾驶证二年以上，并且最近连续五个记分周期没有满分记录；”可以申请增加大型客车（A1）准驾车型。您的B2证初领日期是2011年12月23日，可根据该规定限定的时间及条件申请增驾A1车型。,,,
6,2015/11/17,回复之前邮件,你好，之前我咨询邮件编号ZX###0564的问题贵领导要我提供车号，我不知道在哪里可以回复，就只有在这里回复了，我当时驾驶的车是闽C-###53,泉州市公安局,2015/11/12,陈咏*同志：您好！您反映的信访事项来邮已收悉，现答复如下：经核实，您所反映的情况属实，泉州市公安局交警支队已提交删除信息的申请，待审核后删除。感谢您对公安工作的理解和支持！,满意,2015-58-18 12:58:42,非常感谢
13,2015/11/17,违章处理不便利,我是南平人买了厦门的车，因为排放的原因车辆不可以转到南平来，所以厦门的牌一直在南平开，我的爱人是连江人一年也会去一两次连江，上一次在连江县城停车时被拍，回南平几天后来了一条短信得知在连江违章并且有扣分，于是到南平的交警大队去处理被告知厦门牌的车在连江违章，要么去厦门处理要么就去连江处理，我就在想现在违章都已经全国联网了，可是却不可以全国处理，放小处想致少也应该省内处理啊！我想这才是便民之举，期盼这种便民之举可以早日出台，谢谢！,交警总队（交管局）,2015/11/11,谢建*：您好，来信收悉，现答复如下：根据我厅交警总队有关规定：违法行为人或者机动车所有人、管理人对交通技术监控资料记录的违法行为事实无异议的，可由违法行为发生地、发现地或者机动车登记地的公安交通管理部门管辖。其中在我省发生的交通技术监控违法行为，涉及设区市（含平潭、福州长乐机场、铁路公安等）交通技术监控违法行为，可以至全省任一设区市交通违法受理窗口处理；涉及高速公路交通技术监控违法行为，可以至高速公路交通违法受理窗口处理。在受理交通违法行为处理业务时，受理单位不得在法定受理条件之外另行附加条件，推诿、拒绝受理依法应处理的业务。根据公安部交管局《关于印发＜互联网交通管理业务工作规范（试行）＞的通知》（公交管【2015】372号）规定，对适用简易程序并发生在我省的交通技术监控违法（依法给予警告或200元以下罚款的违法行为）可以通过“福建省公安厅交警总队交通安全综合服务平台（http://fj.122.gov.cn）”处理。但重点管理车辆（营运客货车、危化品运输车辆和校车）、非本人名下机动车有记分的违法除外。驾驶证具有撤销、吊销、注销、停止使用、逾期未换证、逾期未审验、扣押、扣留、注销可恢复、暂扣、锁定、转出、记满12分以及处理驾驶证将记满12分的，不允许通过“综合服务平台”处理。感谢您对公安工作的理解与支持。,,,
10,2015/8/14,莆永高速莆田开往永泰方向的梧桐隧道前限速牌设置不合理,莆永高速莆田开往永泰方向，梧桐隧道前约500m处有一个限速牌为100，还不到500m就有一个梧桐隧道，因此强烈建议撤除掉该限速牌，因为这之前都是限速80。我那天开车，原来基本在80，看到这个牌子后准备加速，发现前面很近就是隧道，所以又踩刹车。感觉很危险！！！,交警总队（交管局）,2015/8/5,胡祥*：您好！您的来邮已收悉，现答复如下：经我厅交警总队督办，福州高速交警支队向福永高速建设公司核实，福永高速公路福州段B道全程设计限速100公里/小时（隧道除外）。在莆田与福州交界处（65公里+550米）设置100公里/小时的限速牌是告知福州段的限速值。在潼关隧道前（64公里+900米）设置80公里/小时限速牌是告知隧道内的限速值，且两面牌相距650米。潼关隧道出口与梧桐隧道进口相距较近，梧桐隧道进口并没有再设置80公里/小时的限速牌。您反映的梧桐隧道进口并无设置限速牌。感谢您对公安工作的理解与支持。,满意,2015/12/17 5:12,解释的非常到位，我现在明白了，点赞！！！
4,2015/8/14,车辆超过规定时速违法行为,尊敬的领导：我是闽A###1T的车主，我的车于2014年12月9日20时33分在福诏高速B道70公里加100米处，该车辆超过规定时速百分之五十未达百分之八十的违法行为，经我看了违法图片，第二张图片看不到我的车牌号码，我咨询了交通广播电台，该起违法图片不符合福建省公安厅交警总队关于非现场拍摄图片之规定，现我申请撤销该起违法行为，谢谢！,交警总队（交管局）,2015/7/31,刘子*：您好！您的来邮已收悉，现答复如下：经我厅交警总队督促莆田高速交警支队核查，您反映的情况属实，目前莆田高速交警支队已依法撤销该起交通违法行为。感谢您对公安工作的理解与支持。,,,
7,2015/8/14,厦沙高速（安溪～厦门）路段限速更换太过频繁,厦沙高速（安溪～厦门）路段限速更换太过频繁，时而限速80时而限速100，容易导致驾驶员混乱，是否可以更改？,交警总队（交管局）,2015/7/22,林惜*：您好！您的来邮已收悉，现答复如下：高速公路的限速标志是由高速公路公司设置的，交警部门根据路面的限速标志查处交通违法行为。厦沙高速公路厦门路段为连续桥隧路段，共有6对隧道、10对桥梁。双溪口隧道至云埔路段由于是连续桥隧长下坡路段，全程限速80公里/小时；从云埔服务区开始至厦门收费站路段除隧道限速80公里/小时外，其他路段小客车限速均为100公里/小时，限速并无频繁更换。感谢您对公安工作的理解与支持。,1,2015-56-20 04:56:05,朔!
5,2015/8/14,小车超过规定时速百分之二十未达百分之五十,尊敬的领导：我是闽A###76小车的驾驶员，该车于2015年3月24日13:38在机场高速B道43公里加10米超过规定时速百分之二十未达百分之五十的违法行为，经过查询该车辆违法图片第二张不符合福建省公安厅交警总队关于非现场拍摄图片之规定，现申请撤销该起违法行为，谢谢！,交警总队（交管局）,2015/7/31,李雪*：您好！您的来邮已收悉，现答复如下：经我厅交警总队核查，您反映的情况属实，目前福州高速交警支队已依法撤销该起交通违法行为。感谢您对公安工作的理解与支持。,,,
4,2015/8/18,高速规定时速20%以上未达到50%的违法行为处理,您好！尊敬的领导：我是闽D-###22的驾驶员，该车在2015年7月25日11:27:57在厦蓉高速A道84公里50米处行驶中，被福建省公安厅交警总队漳州高速公路支队二大队抓拍，认为超过规定时速20%以上未达到50%的违法行为，处罚扣6分，本人按新交规的规定认为此次的处罚不成立，并且查看图片抓拍图当时的时速为96公里，限速80公里，刚好20%，而不是超过20%以上，并未超过新交规规定的20%以上，之后再次查询该次违法图片时，显示暂无图片，已无法查询违法图片，经过查询，本人认为此次违法不符合新交规之规定（驾驶中型以上载客载货汽车、校车、危险物品运输车辆在高速公路、城市快速路以外的道路上行驶或者驾驶其他机动车行驶超过规定时速20%以上未达到50%的），现申请撤销该起违法行为，谢谢！,交警总队（交管局）,2015/8/18,郑明*：您好！您的来邮已收悉，现答复如下：1.根据《公安机关办理行政案件程序规定》（公安部第125号令）和《道路交通安全违法行为处理程序规定》（公安部第105号令）的规定，“以上”、“以下”、“内”，除特别注明的外，皆包括本数或者本级。2.该起交通违法行为图片证据清楚，违法事实认定准确，您可以到高速交警违法受理窗口查询违法证据照片。如对交通技术监控资料记录的违法行为事实有异议，可以向违法行为发生地公安机关交通管理部门提出，由违法行为发生地公安机关交通管理部门依法处理。感谢您对公安工作的理解与支持。,不满意,2015-48-20 09:48:35,好文章，内容出神入化.禁止此消息：no####ok@163.com空气胶管http://www.mo##########an.com
